bucket_start_timestamp;station_name;sensor;raw_value;latitude;longitude;k1;k2;k3;k4;r;calibrated_value;session_name
2023-02-24 22:00:00;SMART189;T;289.39130434782606;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;28.93913043478261;
2023-02-24 22:00:00;SMART189;PM2.5;19.782608695652176;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;19.782608695652176;
2023-02-24 22:00:00;SMART189;CO;299.7391304347826;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;299.7391304347826;
2023-02-24 22:00:00;SMART189;NO2;111.08695652173913;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;111.08695652173913;
2023-02-24 22:00:00;SMART189;PM10;55.56521739130435;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;55.56521739130435;
2023-02-24 22:00:00;SMART189;O3;111.08695652173913;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;111.08695652173913;
2023-02-24 22:00:00;SMART189;Temp. int.;412.5217391304348;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;412.5217391304348;
2023-02-24 22:00:00;SMART189;RH;891.1304347826087;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;89.11304347826088;
2023-02-24 21:00:00;SMART189;RH;890.6333333333333;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;89.06333333333333;
2023-02-24 21:00:00;SMART189;PM10;59.86666666666667;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;59.86666666666667;
2023-02-24 21:00:00;SMART189;PM2.5;20.033333333333335;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;20.033333333333335;
2023-02-24 21:00:00;SMART189;CO;295.96666666666664;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;295.96666666666664;
2023-02-24 21:00:00;SMART189;NO2;122.23333333333333;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;122.23333333333333;
2023-02-24 21:00:00;SMART189;O3;122.23333333333333;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;122.23333333333333;
2023-02-24 21:00:00;SMART189;Temp. int.;409.2;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;409.2;
2023-02-24 21:00:00;SMART189;T;288.0;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;28.8;
2023-02-24 20:00:00;SMART189;RH;899.4193548387096;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;89.94193548387096;
2023-02-24 20:00:00;SMART189;PM10;60.38709677419355;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;60.38709677419355;
2023-02-24 20:00:00;SMART189;PM2.5;21.258064516129032;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;21.258064516129032;
2023-02-24 20:00:00;SMART189;CO;301.4193548387097;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;301.4193548387097;
2023-02-24 20:00:00;SMART189;NO2;127.3225806451613;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;127.3225806451613;
2023-02-24 20:00:00;SMART189;O3;127.3225806451613;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;127.3225806451613;
2023-02-24 20:00:00;SMART189;Temp. int.;408.7096774193548;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;408.7096774193548;
2023-02-24 20:00:00;SMART189;T;287.5806451612903;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;28.758064516129032;
2023-02-24 19:00:00;SMART189;RH;900.2;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;90.02000000000001;
2023-02-24 19:00:00;SMART189;PM10;61.0;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;61.0;
2023-02-24 19:00:00;SMART189;PM2.5;21.133333333333333;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;21.133333333333333;
2023-02-24 19:00:00;SMART189;CO;310.43333333333334;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;310.43333333333334;
2023-02-24 19:00:00;SMART189;NO2;128.23333333333332;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;128.23333333333332;
2023-02-24 19:00:00;SMART189;O3;128.23333333333332;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;128.23333333333332;
2023-02-24 19:00:00;SMART189;Temp. int.;410.53333333333336;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;410.53333333333336;
2023-02-24 19:00:00;SMART189;T;288.9;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;28.89;
2023-02-24 18:00:00;SMART189;RH;877.2;5.335681300000001;-3.9782132333333333;0.1;0.0;0.0;0.0;0.0;87.72000000000001;
2023-02-24 18:00:00;SMART189;PM10;56.2;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;56.2;
2023-02-24 18:00:00;SMART189;PM2.5;19.4;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;19.4;
2023-02-24 18:00:00;SMART189;CO;299.9;5.335681300000001;-3.9782132333333333;1.0;0.0;0.0;0.0;0.0;299.9;
